sample_id,cc.min.diff
LS-15568_S37_E1-50,0.246144515
LS-15568_S43_E1-50,0.165327279
LS-15568_S47_E1-50,0.434716791
LS-15568_S55_E1-50,0.170439604
LS-15568_S57_E1-50,0.582014611
LS-15568_S61_E1-50,0.55212744
LS-15568_S62_E1-50,0.374265372
LS-15568_S63_E1-50,0.85302876
LS-15568_S73_E1-50,0.394276559
LS-15568_S74_E1-50,0.378908609
LS-15568_S82_E1-50,0.33070521
LS-15568_S84_E1-50,0.271717298
LS-15568_S85_E1-50,0.655823765
LS-15568_S86_E1-50,0.433322454
LS-15568_S91_E1-50,0.033271142
LS-15568_S95_E1-50,0.068978581
LS-15569_S02_E1-50,0.81659496
LS-15569_S06_E1-50,0.50054679
LS-15569_S13_E1-50,0.785476683
LS-15569_S20_E1-50,0.173494893
LS-15569_S21_E1-50,0.415952793
LS-15569_S26_E1-50,0.094966347
LS-15569_S27_E1-50,0.602397154
LS-15569_S28_E1-50,0.360704181
LS-15569_S31_E1-50,0.44841094
LS-15569_S33_E1-50,0.325485242
LS-15569_S35_E1-50,0.327500845
LS-15569_S36_E1-50,0.338959841
LS-15569_S44_E1-50,0.441524426
LS-15569_S47_E1-50,0.419087963
LS-15569_S53_E1-50,0.733441689
LS-15569_S54_E1-50,0.508980271
LS-15569_S57_E1-50,0.371789967
LS-15569_S58_E1-50,0.218184102
LS-15569_S63_E1-50,0.625607428
LS-15569_S69_E1-50,0.688602013
